packet_count,total_bytes,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,window_duration,avg_inter_arrival,std_inter_arrival,tcp_ratio,udp_ratio,unique_src_ports,unique_dst_ports,bytes_per_second,packets_per_second,burst_ratio,label,file_source,window_id
40,0,0.0,0.0,0,0,2.828680992126465,0.07253028184939654,0.24430285799288895,1.0,0.0,3,3,0.0,14.14086640074954,0.8974358974358975,1,reels_01,113
1633,0,0.0,0.0,0,0,2.8554301261901855,0.0017496508126165352,0.011831760929281399,1.0,0.0,6,6,0.0,571.8928244897401,0.9981617647058824,1,reels_01,114
58,0,0.0,0.0,0,0,1.8460400104522705,0.03238666685003983,0.05907862747077225,1.0,0.0,4,4,0.0,31.418603969363748,0.8596491228070176,1,reels_01,115
1648,0,0.0,0.0,0,0,2.849179983139038,0.001729921058372215,0.012514668875866896,1.0,0.0,6,5,0.0,578.4120377626487,0.9963570127504554,1,reels_01,116
137,0,0.0,0.0,0,0,2.4917330741882324,0.0183215667219723,0.06382460536918272,1.0,0.0,7,6,0.0,54.98181222506446,0.9705882352941176,1,reels_01,117
995,0,0.0,0.0,0,0,2.997157096862793,0.003015248588393152,0.020090543237826546,1.0,0.0,4,4,0.0,331.9812635251899,0.9959758551307847,1,reels_01,118
170,0,0.0,0.0,0,0,2.912429094314575,0.017233308250382103,0.040643228374052154,1.0,0.0,6,5,0.0,58.370519760244534,0.9585798816568047,1,reels_01,119
122,0,0.0,0.0,0,0,2.9896390438079834,0.02470776069262796,0.10839584837667353,1.0,0.0,5,5,0.0,40.80760192528304,0.9504132231404959,1,reels_01,120
1460,0,0.0,0.0,0,0,2.9861440658569336,0.0020467060081267537,0.011222369793344737,1.0,0.0,7,6,0.0,488.9248367797767,0.995887594242632,1,reels_01,121
105,0,0.0,0.0,0,0,2.345773935317993,0.022555518608826857,0.04513494125068552,1.0,0.0,8,7,0.0,44.761346530080786,0.9326923076923077,1,reels_01,122
1167,0,0.0,0.0,0,0,2.993340015411377,0.002567186977196721,0.033458995425545944,1.0,0.0,8,8,0.0,389.86549940589305,0.9974271012006861,1,reels_01,123
91,0,0.0,0.0,0,0,2.641963005065918,0.02935514450073242,0.06499775546551653,1.0,0.0,6,6,0.0,34.444085638409426,0.9111111111111111,1,reels_01,124
1301,0,0.0,0.0,0,0,2.9870738983154297,0.0022977491525503304,0.039628293320691205,1.0,0.0,9,9,0.0,435.5432922947448,0.9961538461538462,1,reels_01,125
167,0,0.0,0.0,0,0,2.9159038066864014,0.017565685582448202,0.08555971116451326,1.0,0.0,6,6,0.0,57.27212249493814,0.9698795180722891,1,reels_01,126
49,0,0.0,0.0,0,0,2.9136099815368652,0.06070020794868469,0.2792947801000029,1.0,0.0,6,6,0.0,16.817624977435578,0.9375,1,reels_01,127
80,0,0.0,0.0,0,0,2.991147994995117,0.03786263284803946,0.10362779287021678,1.0,0.0,12,13,0.0,26.745584014518343,0.9113924050632911,1,reels_01,128
87,0,0.0,0.0,0,0,2.9780049324035645,0.03462796433027401,0.08025047725885315,1.0,0.0,10,9,0.0,29.214189356557515,0.8837209302325582,1,reels_01,129
178,0,0.0,0.0,0,0,2.9541659355163574,0.016690203025516142,0.04525961034342375,1.0,0.0,11,11,0.0,60.253893615115246,0.9548022598870056,1,reels_01,130
1203,0,0.0,0.0,0,0,2.595102071762085,0.0021589867485541474,0.013106050351759985,1.0,0.0,7,7,0.0,463.5655811346018,0.9958402662229617,1,reels_01,131
1204,0,0.0,0.0,0,0,2.982678174972534,0.0024793667289879752,0.043102552142264446,1.0,0.0,6,6,0.0,403.6640661076641,0.9958437240232751,1,reels_01,132
